
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
[RL] Updates 0, num timesteps 16384, FPS 607, time 26.957418203353882 
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.2528, 0.7472])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.0606, 0.9394])
objs =  [5826.4651025  5122.92963428] , weight =  tensor([0.2528, 0.7472])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 14 ---------------
[Stats] step = 11796480 FPS = 512.6173029044259
[RL] Updates 720, num timesteps 11812864, FPS 512, time 23047.89284515381 
Weights 0.061_0.939, last 10 training episodes: mean/median length 910.9/1000.0, mean/median reward 4004.7/4403.2, min/max reward 429.7/4425.8
[RL] Updates 725, num timesteps 11894784, FPS 512, time 23203.33076095581 
Weights 0.061_0.939, last 10 training episodes: mean/median length 908.6/1000.0, mean/median reward 4086.7/4508.5, min/max reward 332.4/4539.1
[RL] Updates 730, num timesteps 11976704, FPS 512, time 23367.630481004715 
Weights 0.061_0.939, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 4553.6/4553.7, min/max reward 4511.5/4588.8
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
tasks:
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.8333, 0.1667])
objs =  [8624.15236679 3129.92649101] , weight =  tensor([0.5322, 0.4678])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.5322, 0.4678])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.6691, 0.3309])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.4000, 0.6000])
objs =  [8736.88403401 2890.94513623] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 13 ---------------
[Stats] step = 11141120 FPS = 515.6433849196824
tasks:
objs =  [8687.28451801 3478.43425075] , weight =  tensor([0.8333, 0.1667])
objs =  [8743.17652067 3445.89585074] , weight =  tensor([0.6691, 0.3309])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.2528, 0.7472])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.0606, 0.9394])
objs =  [5826.4651025  5122.92963428] , weight =  tensor([0.2528, 0.7472])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 14 ---------------
[Stats] step = 11796480 FPS = 512.6173029044259
[RL] Updates 720, num timesteps 11812864, FPS 512, time 23048.466629743576 
Weights 0.253_0.747, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5171.2/5174.3, min/max reward 5159.3/5176.7
[RL] Updates 725, num timesteps 11894784, FPS 512, time 23205.130118131638 
Weights 0.253_0.747, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5202.2/5203.6, min/max reward 5196.0/5205.9
[RL] Updates 730, num timesteps 11976704, FPS 512, time 23369.9636118412 
Weights 0.253_0.747, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5220.3/5220.7, min/max reward 5212.8/5227.9
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
tasks:
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.8333, 0.1667])
objs =  [8624.15236679 3129.92649101] , weight =  tensor([0.5322, 0.4678])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.5322, 0.4678])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.6691, 0.3309])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.4000, 0.6000])
objs =  [8736.88403401 2890.94513623] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 13 ---------------
[Stats] step = 11141120 FPS = 515.6433849196824
tasks:
objs =  [8687.28451801 3478.43425075] , weight =  tensor([0.8333, 0.1667])
objs =  [8743.17652067 3445.89585074] , weight =  tensor([0.6691, 0.3309])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.2528, 0.7472])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.0606, 0.9394])
objs =  [5826.4651025  5122.92963428] , weight =  tensor([0.2528, 0.7472])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 14 ---------------
[Stats] step = 11796480 FPS = 512.6173029044259
[RL] Updates 720, num timesteps 11812864, FPS 512, time 23048.35146546364 
Weights 0.669_0.331, last 10 training episodes: mean/median length 982.5/1000.0, mean/median reward 6688.3/6819.8, min/max reward 5415.0/6878.3
[RL] Updates 725, num timesteps 11894784, FPS 512, time 23205.822031259537 
Weights 0.669_0.331, last 10 training episodes: mean/median length 981.1/1000.0, mean/median reward 6723.2/6865.1, min/max reward 5446.6/6888.9
[RL] Updates 730, num timesteps 11976704, FPS 512, time 23371.706868886948 
Weights 0.669_0.331, last 10 training episodes: mean/median length 953.5/1000.0, mean/median reward 6537.9/6873.7, min/max reward 3449.4/6920.2
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.3570, 0.6430])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 1 ---------------
[Stats] step = 3276800 FPS = 646.8400195045042
tasks:
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.6691, 0.3309])
objs =  [3248.66128669 5720.4303516 ] , weight =  tensor([0.9835, 0.0165])
objs =  [2985.46894853 5823.01759565] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.0606, 0.9394])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.4000, 0.6000])
objs =  [4761.57581694 3604.06309485] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 2 ---------------
[Stats] step = 3932160 FPS = 600.0696935871676
tasks:
objs =  [5222.86479562 3987.28083492] , weight =  tensor([0.8333, 0.1667])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.5322, 0.4678])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.2000, 0.8000])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.2528, 0.7472])
objs =  [4706.60539906 4792.42404318] , weight =  tensor([0.4000, 0.6000])
objs =  [3085.03129069 5818.67612143] , weight =  tensor([0.7776, 0.2224])

--------------- EPISODE 3 ---------------
[Stats] step = 4587520 FPS = 569.8048907092248
tasks:
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.0606, 0.9394])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.5322, 0.4678])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.8333, 0.1667])
objs =  [5520.41919925 4814.75363002] , weight =  tensor([0.4000, 0.6000])
objs =  [4223.6598105  5503.99145154] , weight =  tensor([0.4000, 0.6000])
objs =  [6101.21096    3486.24196902] , weight =  tensor([0.4000, 0.6000])

--------------- EPISODE 4 ---------------
[Stats] step = 5242880 FPS = 549.6287842055417
tasks:
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.6691, 0.3309])
objs =  [4689.27354995 5288.9784352 ] , weight =  tensor([0.0606, 0.9394])
objs =  [6044.98626968 4471.22441383] , weight =  tensor([0.5322, 0.4678])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.0606, 0.9394])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.8333, 0.1667])
objs =  [6532.09273104 4007.21093838] , weight =  tensor([0.8333, 0.1667])

--------------- EPISODE 5 ---------------
[Stats] step = 5898240 FPS = 539.3275082333985
tasks:
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.8333, 0.1667])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.0606, 0.9394])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.3570, 0.6430])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.4000, 0.6000])
objs =  [7163.89013368 3507.77593941] , weight =  tensor([0.6691, 0.3309])
objs =  [5535.11229816 5057.36164785] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 6 ---------------
[Stats] step = 6553600 FPS = 533.6096214368356
tasks:
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.8333, 0.1667])
objs =  [7496.44709496 3373.99881367] , weight =  tensor([0.4000, 0.6000])
objs =  [5180.73871552 5250.06181723] , weight =  tensor([0.0606, 0.9394])
objs =  [6799.35620381 4420.47698291] , weight =  tensor([0.2528, 0.7472])
objs =  [7044.71849003 3735.75372507] , weight =  tensor([0.2528, 0.7472])
objs =  [5864.61653724 4973.35650411] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 7 ---------------
[Stats] step = 7208960 FPS = 531.4332616538727
tasks:
objs =  [7724.43653215 3043.30634167] , weight =  tensor([0.8333, 0.1667])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.2528, 0.7472])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.4000, 0.6000])
objs =  [6541.9480333  4803.03481046] , weight =  tensor([0.0606, 0.9394])
objs =  [6990.63138419 4291.2979185 ] , weight =  tensor([0.2528, 0.7472])
objs =  [3750.63369974 5663.53259809] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 8 ---------------
[Stats] step = 7864320 FPS = 533.078617861023
tasks:
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.8333, 0.1667])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.0606, 0.9394])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.5322, 0.4678])
objs =  [7186.93887244 4650.25744763] , weight =  tensor([0.2528, 0.7472])
objs =  [7894.77398131 2891.02267526] , weight =  tensor([0.6691, 0.3309])

--------------- EPISODE 9 ---------------
[Stats] step = 8519680 FPS = 532.68635659118
tasks:
objs =  [8112.02293006 2800.67647385] , weight =  tensor([0.8333, 0.1667])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.4000, 0.6000])
objs =  [8073.13453597 3283.49708882] , weight =  tensor([0.8333, 0.1667])
objs =  [7018.71171126 4788.75681572] , weight =  tensor([0.0606, 0.9394])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.0606, 0.9394])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 10 ---------------
[Stats] step = 9175040 FPS = 532.853699775911
tasks:
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.6691, 0.3309])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.8333, 0.1667])
objs =  [6244.3017777  5029.12692107] , weight =  tensor([0.0606, 0.9394])
objs =  [8331.62317087 3057.67911296] , weight =  tensor([0.5322, 0.4678])
objs =  [6598.15621601 4875.24525856] , weight =  tensor([0.0606, 0.9394])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.0606, 0.9394])

--------------- EPISODE 11 ---------------
[Stats] step = 9830400 FPS = 528.0851597676624
tasks:
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.6691, 0.3309])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.5322, 0.4678])
objs =  [8542.98299713 2820.60848709] , weight =  tensor([0.8333, 0.1667])
objs =  [3011.47649059 5816.662731  ] , weight =  tensor([0.7776, 0.2224])
objs =  [8265.07022652 3511.88976664] , weight =  tensor([0.8333, 0.1667])
objs =  [2993.04109639 5850.68927039] , weight =  tensor([0.6250, 0.3750])

--------------- EPISODE 12 ---------------
[Stats] step = 10485760 FPS = 522.4661864170215
tasks:
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.8333, 0.1667])
objs =  [8624.15236679 3129.92649101] , weight =  tensor([0.5322, 0.4678])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.5322, 0.4678])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.6691, 0.3309])
objs =  [8752.02794476 3021.19929377] , weight =  tensor([0.4000, 0.6000])
objs =  [8736.88403401 2890.94513623] , weight =  tensor([0.5322, 0.4678])

--------------- EPISODE 13 ---------------
[Stats] step = 11141120 FPS = 515.6433849196824
tasks:
objs =  [8687.28451801 3478.43425075] , weight =  tensor([0.8333, 0.1667])
objs =  [8743.17652067 3445.89585074] , weight =  tensor([0.6691, 0.3309])
objs =  [6346.35464882 4937.68398261] , weight =  tensor([0.2528, 0.7472])
objs =  [7784.5595747  4382.51338419] , weight =  tensor([0.0606, 0.9394])
objs =  [5826.4651025  5122.92963428] , weight =  tensor([0.2528, 0.7472])
objs =  [5874.34969513 5064.0394613 ] , weight =  tensor([0.2528, 0.7472])

--------------- EPISODE 14 ---------------
[Stats] step = 11796480 FPS = 512.6173029044259
[RL] Updates 720, num timesteps 11812864, FPS 512, time 23048.453903913498 
Weights 0.253_0.747, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5198.1/5201.0, min/max reward 5153.4/5225.8
[RL] Updates 725, num timesteps 11894784, FPS 512, time 23206.740782499313 
Weights 0.253_0.747, last 10 training episodes: mean/median length 914.5/1000.0, mean/median reward 4762.4/5225.8, min/max reward 607.6/5239.9
[RL] Updates 730, num timesteps 11976704, FPS 512, time 23371.935708522797 
Weights 0.253_0.747, last 10 training episodes: mean/median length 1000.0/1000.0, mean/median reward 5246.1/5246.0, min/max reward 5233.7/5260.2
--------------- EPISODE 0 ---------------
[Stats] step = 0 FPS = 0.0
tasks:
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.2000, 0.8000])
objs =  [3380.36976106 3400.30146511] , weight =  tensor([0.6691, 0.3309])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.6250, 0.3750])
objs =  [2966.65666551 5624.96135231] , weight =  tensor([0.4916, 0.5084])
